PROJECT_NUMBER,ABSTRACT_TEXT1
5 DP1 AI106275-03,"   DESCRIPTION   Abstract:   The global AIDS pandemic continues to expand despite significant advances in understanding HIV-1 pathogenesis and the development of powerful antiviral drugs. HIV-1 is transmitted primarily through sexual contact and more than 30 million people are currently infected worldwide. In some regions of the world such as southern Africa the prevalence of HIV-1 infection exceeds 20%. The devastating spread of HIV-1 in young women in these countries appears out of proportion to the overall risk of infection. Thus it is possible that a biological co-factor contributes to virus spread. The hypothesis of this proposal is that acquisition by HIV- 1 of the envelope glycoprotein of gammaretroviruses (murine leukemia virus-related viruses) in a process we call """"natural pseudotyping"""" expands the cellular tropism of HIV-1 enabling it to directly infect vaginal epithelial cells thereby dramatically increasing the risk of infection during sexual intercourse. We propose a molecular epidemiology study consisting of four major aims. 1) To complete in vitro studies of gammaretrovirus/HIV-1 pseudotyping; 2) To demonstrate gammaretrovirus/HIV-1 co-infections in local donors; 3) To demonstrate the effect of gammaretrovirus pseudotyping on vaginal transmission in an animal model; 4) To determine the prevalence of gammaretrovirus infection and HIV-1 co-infection in southern Africa. Natural pseudotyping of HIV-1 is predicted to occur in individuals co-infected with HIV-1 and a gammaretrovirus (XMRV/MLV) since the cellular tropism of these two viruses overlap to include T cells. The formation of XMRV-pseudoptyped HIV-1 (HIV-1/gp70) (now with the cell tropism of XMRV) in blood or lymphoid tissue would result in HIV-1 infection of normally resistant cells in the urogenital tract. Prior or subsequent infection of these cells with XMRV would result in the release of HIV-1/gp70 into seminal fluid or vaginal secretions. The potential implications of natural pseudotyping of HIV-1 are profound.      "
5 DP1 DA034978-02,"The goal of this project is to integrate data from local research, clinical and public health entities that are screening for and treating HIV infected persons. These data will be obtained in a de- identified manner, parsed and then organized into a HIPAA compliant database containing socio- demographic, geographic, reported risk behaviors and viral sequence information. The database will update itself in real-time as new HIV infections are identified, and viral sequence data will be used to map out the phylogenetic network of our local epidemic, focusing on drug using risk groups. We will utilize a background of nationwide HIV sequences obtained from publically available repositories to improve the signal in our phylogenetic structures and use Bayesian maximum likelihood analysis to build these networks in a robust manner. Finally, we will use this system to map the socio-demographic, geographic, risk behavior and phylogenetic data to locations of newly identified acute and early HIV infections. In real-time, these results will be used to identify micro-communities and sub-networks with HIV transmission associated with injection drugs or methamphetamine use, and we will use this information to direct community specific prevention resources (i.e. needle exchange, HIV testing, education, etc.) with the ultimate goal of preventing HIV transmission clusters from developing or expanding, particularly among substance using communities. Specific Aims"
5 DP1 DA034989-02,"Half or more of HIV transmission events may occur within the period of high infectivity (and  often high risk behavior) that can last 11 months or more after a person is initially infected.  Unfortunately, neither test-and-treat intervention methods nor Acute HIV Infection projects have  found effective ways to intervene against transmission during this risky ""recent infection"" period.   We seek to develop effective intervention techniques against HIV transmission among drug  users and their community members during the recent infection period using a combination of  drug injection-, sexual- and social-network-based contact tracing methods; community alerts in  the networks and venues of recent infectees; and the logic of going ""up"" and ""down"" infection  chains. Our first Aim is to develop and evaluate ways to locate ""seeds,"" defined as drug users  and other people who have recently been infected. Our second Aim targets members of seeds'  networks and people who attend their venues. We will test them for acute and for recent  infection, and alert them to the probability that their networks contain highly-infectious members  so they should reduce their risk and transmission behaviors for the next several months to  minimize their chances of getting infected. This may also reduce transmission by untested  people with recent infection. Community, network and venue education about the need and  value of supporting those with recent infection should reduce stigma. Our third Aim is to reduce  HIV transmission and to develop new ways to evaluate ""prevention for positives"" generally as  well as our own success in reducing transmission. We will do this using a combination of follow-  up interviews and testing, including of viral loads; phylogenetic techniques; and discrete event  simulation modeling to assess our effectiveness."
5 F30 DA033729-02,"DESCRIPTION (provided by applicant): The goal of this fellowship is to provide me with the skills and experience needed to be an independent researcher in the field of substance abuse and social epidemiology. This will be accomplished through coursework, mentorship by my sponsor, Dr. Patricia Kissinger, and co-sponsor, Dr. Richard Scribner, and through my own research project. The objective of this project is to investigate the sexual and drug networks of Latino migrant men in order to better understand the risk factors for the transmission of HIV and other sexual transmitted infections (STIs). This project addresses NIDA's research objective to prevent HIV infection and spread among drug users and their partners. A person's social network is crucial in understanding how their environment impacts their risk of HIV. Within networks, it is important to identify core groups since core group members sustain the disease in endemic periods and promote expansion in epidemic periods. While social network analysis is a powerful tool to identify core groups, it is challenging to carry out. Previous studies have used spatial analysis to identify core groups, however these methods have not been validated. If validated, this would provide epidemiologists with a much easier method to identify high risk core groups. This project has three aims: (1) to use spatial analysis to identify core groups of high risk sex among drug users and non-drug users, (2) to compare the sexual networks of drug using and non-drug using Latino migrants, identify core groups of high risk sex and validate spatial analytic techniques used in aim 1 to identify core groups, and (3) to identify risk factors  for belonging to a core group among drug users and non-drug users. My hypothesis is that I will find residual spatial autocorrelation among drug users' sexual networks that is indicative of the presence of core groups. I believe that once I identify core groups using social network analysis in aim 2, membership in a core group will explain the residual spatial autocorrelation seen in aim 1, thus validating spatial techniques to identify core groups. I expect that drug users are at a higher risk of belonging to a core group and that membership to a club or organization will be protective. This study will be carried out by selecting 25 drug using and 25 non-drug using Latino migrant men from a parent study. These men, referred to as egos, will be asked to list and describe all people in their sexual and drug networks. The egos will give referral cards to the people listed in their risk networks, called alters. The first wave of alters, those listed by egos, will be interviewed in the same manner as the egos, and they will also be given referral cards for people in their risk networks. After completing data collection I will have data on the egos, two waves of alters, and information about the second wave alters' networks. Based on data from our parent study, a cohort of 125 Latino migrant workers, we estimate an average of 2.5 people will be reported in a given person's risk networks, totaling approximately 650 people. Data analysis will be carried out in a variety of packages including: SAS, UCInet, and ArcGIS."
5 F31 DA033848-02,"    DESCRIPTION (provided by applicant): Adolescents and young adults account for more new HIV infections than individuals in any other age group (CDC, 2008; UNICEF, UNAIDS, & WHO, 2002). High rates of risk-taking behavior among adolescents may be one explanation for the high incidence of HIV in this age group. In particular, unsafe sexual practices and substance use are two classes of behaviors in which adolescents frequently engage, and these behaviors place them at increased risk for HIV infection (CDC, 2010; Kotchick, Shaffer, Miller, & Forehand, 2001; Stein et al., 2000; Tapert, Aarons, Sedlar, & Brown, 2001; Temple & Leigh, 1992). Advancing understanding of the precursors and mechanisms related to adolescent engagement in these risky behaviors is crucial to reducing rates of infection among young people and, thus, has important public health implications.      Converging evidence indicates that family variables and the manner in which individuals cope with distress and regulate emotions are important predictors of adolescent HIV risk behaviors (Brooks, Harris, Thrall, & Woods, 2002; Cooper, Russell, Skinner, Frone, & Mudar, 1992; DiClemente et al., 2001a, 2001b; Fromme & Rivet, 1994; Jaccard, Dittus, & Gordon, 1996; Perrino, Gonz¿lez-Soldevilla, Pantin, & Szapocznik, 2000). The goal of the proposed study is to further examine the link between parenting variables and adolescent HIV risk behaviors and to explore adolescents' strategies for coping  with distress as a mechanism underlying this link. Specifically, the proposed study will examine the relations among parental responses to adolescents' negative emotions, adolescent suppression of distressing thoughts and emotions as a means of coping, and adolescent HIV risk behaviors-both concurrently and over time-using a multi-method study design that will include self-report, psychophysiological, and laboratory task data. [These data from adolescents (15-19 years old) and their parent(s) will be used to address three study aims: (1) To examine the concurrent link between parental responses to adolescents' negative emotions and adolescent HIV risk behaviors, and test whether adolescents' tendency to use suppression of distressing thoughts and emotions as a coping strategy mediates this link; (2) to examine the concurrent link between the suppression of distressing thoughts and emotions and adolescent HIV risk behavior, and test whether physiological arousal mediates this link; and (3) to examine the longitudinal link between parental responses to adolescents' negative emotions and adolescent HIV risk behaviors, and test whether adolescents' tendency to use suppression of distressing thoughts and emotions as a coping strategy mediates this link.] Results from the proposed study will be discussed in terms of their applicability to HIV prevention programs and their impact on public health.        "
5 F31 DA033913-02,"    DESCRIPTION (provided by applicant): HIV infection rates have increased in the United States to epidemic levels, and many of these new infections occur in adolescents (CDC, 2009). Engaging in risk-taking behaviors such as substance use puts adolescents at heightened risk for HIV infection (Leigh & Stall, 1993). Neurological and environmental reasons have been suggested for this increased risk taking in adolescence: (a) regions of adolescents' brains develop at different rates, affecting their abilities to regulate their actions and in particular assess risks and rewards for engaging in specific behaviors (e.g,, substance use, unprotected sexual intercourse; Geier, Terwilliger, Teslovich, Velanova, & Luna, 2010l Steinberg, 2007); and (b) family-level precursors such as parent-adolescent conflict have been significantly associated with and may pose risk for engaging in substance use and risk-taking (Duncan, Duncan, Biglan, & Ary, 1998). Thus, parent-adolescent conflict may be an important proximal influence in HIV risk behaviors (Lam, Cance, Eke, Fishbein, Hawkins, Williams, 2007; Lester et al., 2010; Rowe, Wang, Greenbaum, & Liddle, 2008). Yet, the temporal relation between parent-adolescent conflict and adolescent HIV risk behaviors is still unknown. Further, it is possible there is a profile of adolescents for whom this conflict increases the likelihood of HIV risk behaviors. To investigate the role of parent-adolescent conflict in HIV risk behaviors, adolescents will be randomly assigned with their parent to complete a standardized discussion task in which they discuss either a control topic (i.e., planning a family vacation) or a conflict topic (i.e., discusing a topic at home that arouses parent-adolescent conflict such as ""doing chores""). Immediately after the discussion task, all adolescents will complete a laboratory risk-taking measure. Adolescents will also complete a self-report measure of real-world risk taking behaviors. The primary aims of the proposed research are to determine if there is a causal link between parent-adolescent conflict and risk-taking behaviors and to identify the factors related to parent-adolescent conflict and HIV risk behaviors for adolescents who score high on the performance-based risk-taking measure. Current substance use is hypothesized to be a moderator of the relation between conflict and risk behaviors. As an exploratory follow-up and with a subsample of adolescents identified as current substance users, investigate the cortical brain regions that moderate the relation between parent-adolescent conflict and risk behaviors using a functional near-infrared spectroscopy device. Training goals for this award are to gain a solid foundation in the conceptualization, development, and neurobehavioral underpinnings of adolescent risk taking, reward processes, and addictions; develop a background in multi-method assessments of family level precursors for HIV risk behaviors; and develop a background in neuroimaging methods.        "
5 G12 MD007583-28-6423,"Data Management and Statistical Research Support Unit (DMSRSU)    For the past 16 years the objectives of the HIV, Substance Abuse and Health Disparities Data Core of the Retrovirus Research Center has been focused on serving as a core facility for data management and statistical support for young and senior researchers. Following the recommendations of the external advisory committee for the renewal proposal, the data core facility will become the Data Management and Statistical Research Support Unit (DMSRSU). We have established a collaborative culture within our institution as well as externally and have secured a team of excellent consultants. The overall goal of the DMSRSU is to become the data management and statistical research support Unit for RCMI and other UCC researchers in order to enhance the level of scientific research excellence in the institution. In plus, the DMSRSU will continue to house and maintain the HIV data bank in coordination with the Retrovirus Research Center. For the renewal, the DMSRSU has the following objectives: (1) Consolidate the infrastructure of the DMSRSU as an independent unit; (2) Provide support for study design and statistical analysis to the multiple funded and unfunded studies of RCMI and other UCC researchers; (3) Provide data management and quality assurance research support to the multiple funded and unfunded studies of RCMI and other UCC researchers; (4) Continue the study of the natural history of HIV disease in coordination with the RRC; and (5) Contribute to the research development career of faculty in coordination with the Scientific Human Resources Development Unit (SHRDU) and the Retrovirus Research Center (RRC). This unit has a strong infrastructure which includes the following subunits: Data Abstraction and Management; Data Entry; Quality Control; Data Analysis and Consultant; and Administrative and Computer Systems. Each of these subunits consists of experienced professionals readily available to assist researchers and to provide data management and statistical research support to investigators. In addition, the DMSRSU counts on a highly experienced and reliable consulting team composed by Dr. Maria A. Gomez (Psychologist, UPR), Dr. Sonia Napravnik (Epidemiologist, UNC) and Dr. Shrikant Bangdiwala (Biostatiscian, UNC)."
5 K01 AA020228-04,"DESCRIPTION (provided by applicant): This proposed K-01 career development award explores patterns of concurrent sexual partnerships, or partnerships that overlap in time, among urban African Americans in Philadelphia. I am an Assistant Professor of Medicine (Research) in the Division of Infectious Diseases at Brown University Medical School. I hope to use the K-01 award to transition from health policy to behavioral and social science research in HIV/AIDS prevention. My long-term career goals are to pursue an academic career in order to conduct behavioral and sociological research in the field of HIV/AIDS, to publish articles in the peer- reviewed literature, and conduct HIV/AIDS research that influences public policy. I hope to use the K01 award to learn how to conduct community-based participatory research (CPBR), develop new quantitative skills for behavioral science research, acquire expertise in behavioral research for HIV prevention and HIV intervention research, and gain expertise in health disparities research and ethical conduct of research in underserved populations. The research components of my application follow: Community-based participatory research (CBPR) approaches will be employed to explore 32-40 African American community leaders' opinions and knowledge about sexual concurrency and other factors contributing to HIV health disparities among urban African Americans. CBPR will also be used to examine African American community leaders' interest in developing and piloting novel interventions to address concurrent sexual relationships and other factors contributing to HIV health disparities among African Americans. Subsequently, differential rates of sexual concurrency and other factors that may contribute to racial disparities in HIV rates among African Americans testing for HIV in Philadelphia will be explored. This analysis will rely on secondary survey data collected during Philadelphia's rapid testing campaign, which tests approximately 6,000 people annually. The beliefs, attitudes, practices, patterns and causes of concurrent sexual partnerships will then be explored through 80 in-depth qualitative interviews among HIV- negative African American men and women testing for HIV in Philadelphia. In keeping with the CBPR framework guiding this study, the findings of each of the aforementioned research projects will be shared and explored with African American community leaders and the Philadelphia community at large. Community input about the study findings, appropriate interpretations, interventions, and public policy suggestions will be solicited. The findings from the aforementioned studies will then be used to design an R01 grant application proposing an HIV prevention intervention. The intervention will combine behavioral and social interventions to address concurrent sexual partnerships, and may aim to increase condom use rates with main and non-main partners, reduce concurrent sexual partners, or address other factors contributing to HIV health disparities among HIV-negative African Americans."
5 K01 AI091440-04,"   DESCRIPTION (provided by applicant): This proposal describes a four year career development and training plan for Erik Volz, an Assistant Research Scientist in the Department of Epidemiology at the University of Michigan-Ann Arbor. Training will aid with the development of a career in Epidemiology with a focus on infectious diseases, especially HIV and other sexually transmitted infections.       The training program will allow Dr. Volz to acquire skills in areas necessary for expertise in the field of HIV epidemiology while conducting substantial research in areas where he already has established a strong publishing record. Dr. Volz will be mentored by a team of three faculty with experience ranging from complex systems modeling of infectious diseases to the microbiology and pathology of HIV infection and the evolution of viruses. The School of Public Health at the University of Michigan is an excellent venue for junior faculty seeking to develop a career as an independent investigator. A large community of research faculty and postdoctoral fellows are available as potential collaborators and as an audience for work in progress.       Research supported by this award will concern the use of novel sources of HIV genetic data for fitting models of the HIV epidemic. The union of mathematical epidemiology, immunology and phylogenetics has been dubbed ""phylodynamics"", and Dr. Volz has made recent progress on the theory necessary to unify traditional models of infectious disease epidemics with the evolution of HIV described by phylogenetic trees. The potential of phylodynamic methods was demonstrated recently as the first estimates of the fundamental reproduction number, R0, for pandemic H1N1 came from the analysis of several dozen influenza genetic sequences, not from traditional epidemiological surveillance data. Dr. Volz hopes to refine these methods and develop them into a practical tool for epidemiologists engaging in HIV surveillance. A collaboration will be established with the Michigan Department of Community Health to analyze a database of several thousand HIV sequences collected from newly diagnosed individuals since 2004. By applying phylodynamic models to this large set of sequences, Dr. Volz will attempt to answer longstanding questions about the transmission patterns of HIV. This research will generate novel estimates of R0, the temporal distribution of transmissions post-infection, the fraction of transmissions that happen during acute and early HIV infection, demographic determinants of infection and transmission risk, and behavioral heterogeneity and sexual network structure.       "
5 K01 AI095060-02,"    DESCRIPTION (provided by applicant): Sub-Saharan Africa accounts for approximately 10% of the world's population, but is home to approximately 70% of the 2.7 million people estimated to be newly infected with HIV worldwide annually, and 35% of the estimated 8.8 million new tuberculosis (TB) cases. The burden of HIV and TB in Africa is reflected in higher rates of both infections in African emigrants to other countries when compared to their local counterparts. The goal of this career development award is to gain expertise in TB epidemiology and control, and research methodologies that will broaden my abilities to address HIV, TB, and other health issues in the African population in the US. My longer-term career objective is to improve the overall health of this population through both research and public health practice. The proposed research addresses questions crucial to the development of effective HIV and TB prevention and control programs for the African-born population. The specific aims of the proposal are to: 1) Estimate the extent to which transmission of HIV and TB occurs prior to arrival in the US among African-born persons, identify barriers to HIV testing and missed opportunities for HIV diagnoses among African-born US residents, and define the potential risk of ongoing HIV and TB transmission both within and outside of the African-born community; 2) Evaluate missed opportunities for TB screening and diagnosis, describe delays in diagnosis of active TB in the African population compared to non-Africans, and estimate the prevalence of TB genotypes typically seen in African- born patients in non-African populations; and 3) Develop projections for the size and composition of the African-born HIV and TB epidemics in the US over the next 20 years, using a combination of demographic and dynamic epidemic modeling. The career development component of the application is designed to augment my existing skills in the areas of HIV and STD epidemiologic research. The proposed educational aims will allow me to build skills in four specific areas necessary to carry out my research aims, and include training in: 1) TB epidemiology and control, 2) Demography and mathematical modeling, 3) Immigration and health. The unparalleled training environment at the University of Washington (UW), the close and collaborative relationships between the UW and the HIV/STD and TB Programs of Public Health - Seattle and King County, and the exceptional team of mentors and advisors that will supervise my training and research will further contribute to my career development and transition into a successful independent investigator.         "
5 K01 AI098527-02,"    DESCRIPTION (provided by applicant): This proposal outlines a five-year career development and research plan to train the candidate as an independent epidemiologic investigator focused on outcomes research in international settings. The candidate's strong academic performance and international work on HIV-1 risk factors and transmission, including generalizability of prevention interventions, demonstrates his expertise in epidemiologic methodology and applied research. As a doctoral candidate, he led the epidemiologic design and analysis of a large prospective cohort study of discordant couples in Kenya. This research experience was enhanced by a postdoctoral fellowship in which he investigated barriers to timely initiation of antiretroviral therapy (ART) and developed mathematical models for the impact of the distribution of risk factors on generalizability of intervention trials. This K01 award will enablethe candidate to integrate this background into a new line of investigation on the implementation of behavioral interventions to promote HIV/AIDS care and treatment. The candidate will be supported by expert mentors to provide guidance and ensure the success of this project. An enriching institutional environment will support his career development. RESEARCH PLAN. Half of patients testing positive for HIV-1 at voluntary counseling and testing (VCT) centers in Sub-Saharan Africa fail to link with HIV/AIDS care. This highlights a critical deficiency in the health system that can be addressed with interventions to improve linkage to care that will slow disease progression, accelerate ART initiation, and improve health outcomes. We hypothesize that an implementation science approach will produce a package of interventions to improve linkage to care and treatment that will be rapidly scalable across sites in Africa. We will test a behavioral intervention and evaluate new point-of-care (POC) CD4 testing to improve linkage to care. The specific aims are to (1) determine if a VCT-based intervention of CD4 count testing, alone or in combination with peer counseling, improves linkage to HIV/AIDS care; (2) assess the impact of the intervention on ART initiation; and (3) determine if rapid return of CD4 results using new POC testing improves linkage to care compared to conventional testing with delayed return of results. First, we will conduct a rapid assessment of barriers to care among patients, counselors, and health providers to refine the intervention (VCT-based CD4 counts and peer counseling). We will then recruit 450 HIV-positive individuals from VCTs and randomize a third to standard counseling and referral, a third to receive CD4 testing at the VCT with results return by phone after two weeks, and a third to receive the same CD4 testing combined with peer counseling. We will recruit an additional 150 participants to receive POC CD4 testing with rapid return of results and compare their linkage to care rates to those receiving CD4 results after two weeks. These combined investigations will create a comprehensive understanding of obstacles to appropriate HIV/AIDS care and result in new interventions to achieve measurable outcomes in applied settings. Through this award the candidate will gain new expertise in implementation science and will become an independent investigator focused on health interventions in resource-limited settings.        "
5 K01 DA025504-05,"   DESCRIPTION (provided by applicant):  This 5 year career development award will provide the candidate with training in mixed research methods and their applications to understanding substance use and migration impacts on HIV and blood borne infections (BBIs) in minority and vulnerable populations. The new qualitative and mixed-methods training coupled with a Ph.D. in public health and prior health services research will prepare the candidate for independent, policy oriented research on complex social and migration factors in HIV prevention in minority and disadvantaged communities. The proposed career and training goals employ didactic and mentored learning to: (1) Develop a thorough understanding of social and environmental factors that contribute to substance use and facilitate transmission of BBIs in migrants; (2) Acquire expertise in developing and implementing mixed-methods protocols (i.e., qualitative and quantitative methods) to study substance use issues; (3) Obtain ongoing training in the ethical conduct in research, especially vis-¿-vis vulnerable populations; (4) Develop the skills necessary for a successful academic research career (e.g., publishing peer reviewed papers, presenting at professional meetings, grantsmanship); and (5) Acquire an in-depth understanding of theory-based interventions that may reduce transmission of BBIs among migrant injection drug users (IDUs). A key aspect of this training involves investigating the influence of migration on risky substance use and sexual behaviors among migrant female sex workers who inject drugs (FSW-IDUs) in Tijuana, a city on the U.S.-Mexico border. The prevalence of HIV in FSW-IDUs is 12.3% This study uses a mixed-methods approach to (1) characterize prior and future migration decisions and resources of FSW- IDUs in Tijuana; (2) Describe the influence of community and family migration experiences on FSW-IDUs' decisions to engage in sex work and substance use behaviors, and (3) Examine the relationship between migration factors and engagement in risky sex and substance use behaviors. Data generated from this study will be used by the applicant to develop an R01 or R34 targeting migrant FSW-IDUs and HIV risks in the U.S.-Mexico border region. RELEVANCE (See instnjections): The "
5 K01 DA029571-04,"   DESCRIPTION (provided by applicant):  This K01 proposal entitled ""Moving Toward Independence: Exploring neurological and endocrine determinants of adolescent and young adult risky behavior decision-making"" in response to the program announcement (PA-09-040) proposes a rigorous mixed methods approach to examine how adolescents and young adults (ages 18-24) make decisions about engaging in risky behaviors. This one-year longitudinal study, the first of its kind, incorporates fMRI, salivary samples, genital swabs, and ACASI (Audio Computer Assisted Self-Interview) and in-the-moment text messaging survey methods into one project to examine neurological, hormonal, psychological, and contextual determinants of sexual risk practices and substance use and their related outcomes (e.g., HIV, STIs, substance use disorders, drug dependency, depression). The objective and specific aims of this study are listed below: Objective: The research questions motivating the proposed study are: Why do young adults engage in risky behaviors (sexual and substance use) when they are knowledgeable about consequences? To what extent do these youth experience feelings of depressive symptoms, heightened stress, and physical consequences (e.g., STIs, HIV, drug use disorders)? How do relationships between determinants of risk and outcomes change over time? Aim 1: Assess, using fMRI whether cognitive control brain regions of interest (CCROIs: prefrontal cortex pruning and parietal association cortex; dorsolateral prefrontal cortex; ventromedial prefrontal cortex; anterior and posterior cingulate, and temporo-parietal cortices) and socio-emotional brain regions of interest (SEROIs: medial frontal cortex, left ventral striatum - in the accumbens, left superior temporal sulcus, left medial tempor- al, amygdala) are differentially active in youths who take fewer sexual and substance use risks relative to youths taking greater risks. Aim 2: Assess, via four salivary measures per day, whether testosterone (T) and dehydroepiandrosterone (DHEA) levels and diurnal patterns vary as a function of the cognitive control and socio-emotional network brain region activity and development for young women and men. Aim 3: Investigate how activation in cognitive control relative to socio-economic brain networks relates to youths' reports of (a) mental health outcomes and (b) physical health outcomes. By extension, assess how hormone and brain region patterns (e.g., high T with low cognitive control) relate to youths' reports of sexual risk, substance use, drug abuse and dependency, and mental health. Aim 4: Assess changes in brain function as well as hormone diurnal changes over one year's development and whether these changes are related to (1) each other and (2) changes/ stability in sexual risk behavior and substance use outcomes as well as mental health outcomes. At the completion of this project, as a young investigator I will (1) learn the fundamentals of neuroscience and endocrinology, sufficient to launch my independent career, and (2) have a better understanding of how hormones, brain region activity, and context influence a young person's risky behaviors and how these hormones and brain ROI relate to risky behaviors and mental health outcomes over time. This work will advance the current knowledge of adolescent and young adult decision-making and mental health and behavioral outcomes by creating and assessing a more comprehensive model via integrating psychological, biological, and contextual perspectives, and will serve as the basis for an R01 application and future analyses beyond the scope of this study.      "
5 K01 DA031031-04,"   DESCRIPTION (provided by applicant):  The purpose of this Mentored Research Scientist Development Award (K01) is threefold. This award will allow me to: 1) learn a new skill set (social network analysis; SNA), 2) broaden my understanding of the social epidemiology of HIV among drug users in a new cultural and environmental context (the US/Mexico border), and 3) facilitate my transition to becoming a productive NIH-funded independent investigator at the University of California San Diego. The training aims will be accomplished through a combination of specific workshops and coursework, a hands-on practicum, and one-on-one mentoring with a Training Committee comprised of experts in the areas of HIV prevention research among vulnerable populations, behavioral intervention design, social network analysis, and HIV social epidemiology research in international contexts (and specifically the US/Mexico border region). The research aims will be accomplished by conducting a cross-sectional study of the social network factors associated with HIV risk behavior among 200 drug-using male clients of female sex workers (FSWs) in Tijuana, Mexico. The US/Mexico border is experiencing a burgeoning HIV epidemic, concentrated among high-risk groups such as drug users and FSWs. Social network analysis (SNA) has been used for many years in the US to understand the role of drug user social networks in regional HIV transmission, but rarely has it been used between regions or across international borders, which are characterized by high levels of cross-border mobility. Understanding the role of social networks in highly mobile ""bridging"" populations is critical to a more nuanced and contextualized understanding of infectious disease transmission in border regions. The proposed research will allow me to apply newly acquired skills in SNA to evaluate the structure, composition, and influence of social networks, and the degree of interaction among drug, sex, and social networks of a particularly high-risk group: US and Tijuana-based drug-using male clients of FSWs. This population exhibits high rates of drug use (25% report ever injecting drugs, and up to 88% report lifetime use of cocaine, heroin, or methamphetamine) and considerable sexual risk behavior with both FSWs and other partners (including 66% who report concurrent sex and drug use). Findings from the proposed research will be critical for developing tailored interventions for individuals at risk for HIV via sex and drug use in border regions, and for the development of future research into the mobility-HIV risk pathway. Further, developing skills in social network analysis will uniquely position me as one of only a handful of mixed-methods researchers in the field of drug abuse possessing such skills, and the only one in the Division of Global Public Health at the University of California San Diego.      PUBLIC HEALTH RELEVANCE:  The US/Mexico border is home to an evolving HIV epidemic among vulnerable groups such as drug users, including female sex workers (FSWs) and their clients, but little social epidemiological research has assessed the role of social networks in influencing transmission of HIV in this region. Findings from the proposed research will be critical to bi-national efforts to develop tailored interventions for drug users at risk for HIV, and for the development of future long-term research into the influence of social networks on HIV risk among mobile ""bridging"" populations who have the potential to connect higher- and lower-risk groups. Further, developing skills in social network analysis will uniquely position the candidate as one of only a handful of mixed-methods researchers in the field of drug abuse possessing such skills, and the only one in the Division of Global Public Health at the University of California San Diego.         "
5 K01 DA031035-03,"   DESCRIPTION (provided by applicant):  This K01 award will provide Dr. Hong Van Tieu with the necessary training and mentorship to become an independent investigator in HIV epidemiology and prevention. Her short-term goals are to expand her experience in HIV epidemiology and prevention research among men who have sex with men (MSM), gain advanced skills in epidemiology, biostatistics, social network analysis, and qualitative research, and further the understanding of the influence of sexual networks on HIV and sexual risk behaviors among Black and White MSM. She will receive specialized training in the epidemiology of substance use and its relationship to HIV risk among MSM. Her multidisciplinary mentoring team has expertise in HIV and substance use epidemiology, prevention, and clinical research and strong track records of supporting junior faculty to become independently funded investigators. The New York Blood Center has a long history of conducting HIV epidemiology and behavioral and biomedical prevention research among MSM and is profoundly committed to the success of this K01 award. The dramatically disproportionate HIV infection rates among Black MSM in the U.S remain unexplained by differences in individual behavioral risk. One hypothesis is that the characteristics of sexual networks of Black MSM place them at increased risk of HIV compared to non-Black MSM. The purpose of this study is to directly compare the structural and compositional characteristics of sexual networks between Black and White MSM and to examine the relationship of their network characteristics to HIV infection and sexual risk behaviors using an innovative combination of qualitative and quantitative research methodologies. The proposed research will enroll a large sample of Black and White MSM (n=878) in New York City as a substudy of an NIH R01-funded study to evaluate the hypothesis that certain structural (e.g., network size, density, partner concurrency) and compositional (e.g., assortative and disassortative mixing, durability of relationships) characteristics of Black MSM sexual networks increase the men's risk of HIV infection. The specific aims of this study are the following: (1) to describe and compare the structural and compositional characteristics of sexual networks between Black and White MSM at the egocentric network level, (2) to compare the association of structural and compositional characteristics of sexual networks with HIV infection and sexual risk behaviors between Black and White MSM at the egocentric network level, and determine whether differences in sexual network characteristics explain the disparity in HIV prevalence between Black and White MSM, and (3) to explore in depth the contexts and meanings of sexual partnerships and networks by evaluating how Black and White MSM subjectively experience their sexual networks and perceive them to influence their sexual risk behaviors using qualitative research methods. A focus of the research is on drug and alcohol use within sexual networks and their relationship to HIV risk among MSM. This research will provide critically important information on the sexual networks of Black MSM to explain the alarming rates of HIV infection among this population and to inform development and testing of sexual network-based intervention strategies to reduce HIV acquisition and transmission risk. It will also serve as an excellent platform for the candidate to gain essential training in HIV epidemiology and prevention research and generate innovative ideas for her first R01 grant application.      "
